gene_id,GSM1228184_AMC_2.1,GSM1228185_AMC_3.1,GSM1228186_AMC_5.1,GSM1228187_AMC_6.1,GSM1228188_AMC_7.1,GSM1228189_AMC_8.1,GSM1228190_AMC_9.1,GSM1228191_AMC_10.1,GSM1228192_AMC_12.1,GSM1228193_AMC_13.1,GSM1228194_AMC_17.1,GSM1228195_AMC_18.1,GSM1228196_AMC_19.1,GSM1228197_AMC_20.1,GSM1228198_AMC_21.1,GSM1228199_AMC_22.1,GSM1228200_AMC_23.1,GSM1228201_AMC_24.1,GSM1228202_AMC_2.2,GSM1228203_AMC_3.2,GSM1228204_AMC_5.2,GSM1228205_AMC_6.2,GSM1228206_AMC_7.2,GSM1228207_AMC_8.2,GSM1228208_AMC_9.2,GSM1228209_AMC_10.2,GSM1228210_AMC_12.2,GSM1228211_AMC_13.2,GSM1228212_AMC_17.2,GSM1228213_AMC_18.2,GSM1228214_AMC_19.2,GSM1228215_AMC_20.2,GSM1228216_AMC_21.2,GSM1228217_AMC_22.2,GSM1228218_AMC_23.2,GSM1228219_AMC_24.2,GSM1228220_AMC_2.3,GSM1228221_AMC_3.3,GSM1228222_AMC_5.3,GSM1228223_AMC_6.3,GSM1228224_AMC_7.3,GSM1228225_AMC_8.3,GSM1228226_AMC_9.3,GSM1228227_AMC_10.3,GSM1228228_AMC_12.3,GSM1228229_AMC_13.3,GSM1228230_AMC_17.3,GSM1228231_AMC_18.3,GSM1228232_AMC_19.3,GSM1228233_AMC_20.3,GSM1228234_AMC_21.3,GSM1228235_AMC_22.3,GSM1228236_AMC_23.3,GSM1228237_AMC_24.3
PDCD10,36.3975,43.2824,35.458,41.3806,40.0851,33.6648,19.4055,29.0782,41.7647,38.644,33.3124,32.4308,40.7885,45.1375,39.7692,32.8873,39.5187,40.7697,32.3529,36.2381,31.8729,32.6761,38.8478,36.4787,33.095,30.588,37.9053,38.7931,24.6704,34.717,35.0916,34.89,40.4637,39.581,38.9891,42.5661,34.63,46.4106,33.2341,35.1023,28.8748,54.9745,36.4728,22.5307,36.7946,39.9497,32.956,33.4498,22.7091,36.6365,26.1524,40.0687,39.8976,30.9312
LOC100505659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0403212,0.0,0.0
HMGCS2,161.127,165.685,221.807,2.21736,40.2804,217.447,0.678948,41.0077,34.5872,184.726,137.709,53.5817,86.4742,65.3779,135.259,43.5431,124.263,15.1246,193.236,348.385,204.463,231.324,340.864,322.93,191.061,270.407,320.967,471.495,71.7704,155.653,189.189,416.523,179.066,312.007,227.026,190.46,322.949,397.628,41.013,37.5867,180.361,61.3446,148.789,788.793,195.596,56.3537,216.463,237.701,122.43,72.6317,367.84,137.295,150.761,150.497
PEG10,0.158521,0.156549,0.460161,0.108206,0.224519,0.284178,2.41811,0.309148,0.242941,0.338365,1.39019,2.17678,0.520804,0.531124,0.251785,0.239276,0.31303,0.134429,0.732284,0.682835,0.524768,0.859565,0.631527,0.422989,0.685747,0.468202,0.448951,0.325713,6.75463,0.351518,0.717736,0.516641,0.646945,0.651936,0.736492,0.772714,0.220672,0.704186,0.14831,0.152117,0.3593,0.91545,0.392415,0.319934,0.036828,0.228131,0.0821555,0.37465,0.060795,0.473504,0.172753,0.0248791,0.118815,0.376139
ZNF653,2.72688,2.24935,1.81868,2.52541,1.40492,2.70983,1.94476,2.38157,2.28957,2.8228,2.57157,4.06704,1.72393,1.95063,1.96478,1.76688,1.42371,1.36423,1.92514,1.85557,1.66847,1.57163,1.72133,1.94905,1.84832,1.92007,2.31392,2.70468,2.39505,4.0948,1.97065,2.46088,1.8536,1.57063,2.02264,2.48494,1.62234,1.60266,1.71858,2.75012,1.40574,2.41064,1.54213,2.46296,2.12101,3.51758,2.42228,3.74812,3.11048,1.58234,1.96807,2.22893,1.7549,2.09703
LINC00535,0.0402011,0.0163666,0.0215856,0.0813235,0.0333565,0.0209806,0.218892,0.0306129,0.0391159,0.111157,0.0,0.0231593,0.061103,0.0404014,0.0,0.0735152,0.0,0.0,0.031181,0.0397071,0.0411595,0.0350275,0.0244877,0.0,0.0336557,0.0199596,0.0420439,0.101286,0.106839,0.0,0.0,0.0196348,0.0243852,0.0786397,0.0546081,0.0889553,0.0505697,0.0154627,0.0304406,0.0187362,0.0176719,0.0530883,0.0429684,0.230034,0.0235479,0.0,0.0,0.0209513,0.0397148,0.0420747,0.10143,0.140308,0.0293458,0.0
LRRC73,0.46304,0.267352,0.073109,0.100425,0.493792,0.999634,0.235311,0.437103,0.650363,0.596155,0.571131,0.397461,0.155468,2.66158,0.0223168,0.0804546,0.50794,0.202638,0.148654,0.0966034,0.0654727,0.140855,0.188824,0.20652,0.0704484,0.177498,0.116329,0.401758,0.410173,0.251884,0.179766,0.113339,0.131992,0.0278724,0.178917,1.05257,0.48497,0.177629,0.35008,0.088558,0.113265,0.3655,0.378327,0.154537,0.204368,0.622134,0.771144,0.292685,0.183809,0.373794,0.0225281,0.0,0.915233,0.210954
NDUFC2,30.075,26.2592,28.2727,24.5405,32.0341,32.1053,23.5538,31.4778,32.487,51.6977,33.188,36.5022,42.0067,14.4094,13.8479,29.42,21.2474,21.0591,22.0331,29.2982,26.1783,23.1024,31.3794,27.4337,29.5915,32.6444,32.6202,44.3618,36.0874,42.885,29.897,28.9883,30.6415,30.4041,34.444,44.5502,28.4528,30.0532,20.9348,22.0678,30.3239,38.1263,21.7432,79.1102,27.1466,47.3508,29.3667,39.4782,26.9366,16.4815,26.868,35.2571,24.7369,28.6797
OR7D2,0.0478509,0.0,0.250485,0.0,0.0,0.0183496,0.0,0.0,0.0,0.0183628,0.0,0.0,0.0143287,0.0188251,0.0,0.0,0.0156926,0.0201601,0.0,0.0361192,0.272204,0.00017933,0.0216664,0.0,0.0,0.0178426,0.0,0.0,0.0,0.016253,0.0,0.0,0.0216619,0.0,0.0,0.0,0.0,0.0,0.1737,0.0346598,0.0156128,0.0234833,0.0,0.0,0.0,0.042128,0.0196634,0.0175407,0.0,0.0,0.0,0.0,0.0127432,0.0152626
ZFP30,1.64954,1.58642,0.717315,1.46123,0.940293,1.00841,1.10047,0.934487,1.15229,0.932319,0.878478,1.11731,1.56952,1.04216,0.679048,1.822,1.52626,1.19949,1.01002,0.906543,0.594233,1.05003,0.827003,0.771458,0.821559,1.15545,0.85762,0.791418,1.45087,0.623468,1.17107,0.775746,0.859264,0.68796,0.925325,0.856292,0.996367,1.11132,0.566093,2.20465,1.13195,0.396977,0.981696,0.682479,1.46166,1.11645,1.10333,1.36761,1.01803,0.978073,1.15183,1.24855,1.285,1.07537
