gene_id,value
K03402,-1.0
K03406,0.0
K03407,0.0
K03408,0.0
K03410,-1.0
K03411,0.0
K03412,1.0
K03413,0.0
K03415,-1.0
K03417,1.0
K03418,0.2
K03424,0.0
K03426,0.8
K03427,-0.6
K03430,-0.2
K03431,0.0
K03435,1.0
K03436,0.0
K03437,0.0
K03438,0.0
K03439,0.0
K03442,0.0
K03445,1.0
K03446,0.6
K03449,0.8
K03451,-0.4
K03455,0.0
K03457,0.8
K03464,0.2
K03465,0.2
K03466,0.0
K03468,0.6
K03469,1.0
K03470,0.0
K03471,-1.0
K03473,-0.2
K03474,1.0
K03475,-0.4
K03478,-0.8
K03480,-1.0
K03483,-0.8
K03484,-1.0
K03486,-1.0
K03488,-1.0
K03489,-1.0
K03491,-0.4
K03492,-0.8
K03495,0.0
K03496,0.19999999999999996
K03497,0.0
K03498,-1.0
K03499,-1.0
K03500,0.0
K03501,0.0
K03502,-1.0
K03517,0.0
K03518,0.2
K03519,0.4
K03520,0.2
K03521,0.0
K03522,0.0
K03523,0.0
K03524,0.0
K03525,-1.0
K03526,0.0
K03527,0.0
K03528,-0.2
K03529,0.0
K03530,0.0
K03531,0.0
K03534,0.8
K03536,-0.6
K03543,1.0
K03544,0.0
K03545,0.0
K03546,0.0
K03547,0.0
K03548,0.0
K03549,1.0
K03550,0.0
K03551,0.0
K03553,0.0
K03555,0.0
K03556,0.8
K03557,0.2
K03558,0.0
K03560,1.0
K03562,1.0
K03563,-1.0
K03564,0.0
K03565,0.0
K03566,0.8
K03568,0.8
K03569,-1.0
K03570,-1.0
K03571,-1.0
K03572,0.0
K03573,-0.2
K03574,0.0
K03575,0.0
K03576,-0.2
K03577,1.0
K03579,0.8
K03580,0.0
K03581,0.0
K03583,-0.2
K03584,0.0
K03585,1.0
K03587,1.0
K03588,0.0
K03589,0.0
K03590,0.0
K03592,1.0
K03593,0.0
K03594,1.0
K03595,0.0
K03596,0.0
K03597,-0.2
K03599,1.0
K03601,0.0
K03602,0.0
K03604,0.0
K03607,1.0
K03608,0.8
K03609,0.0
K03610,0.0
K03611,0.0
K03616,0.6
K03620,1.0
K03621,0.0
K03623,-0.2
K03624,0.0
K03625,0.0
K03628,0.0
K03629,0.0
K03630,0.0
K03631,0.0
K03633,-0.2
K03634,1.0
K03635,0.8
K03636,0.8
K03637,0.19999999999999996
K03638,0.4
K03639,0.4
K03640,1.0
K03641,1.0
K03642,1.0
K03643,1.0
K03644,0.0
K03646,-0.4
K03647,1.0
K03648,0.0
K03649,1.0
K03650,0.0
K03651,0.8
K03652,0.0
K03654,0.0
K03655,0.0
K03656,-0.2
K03657,0.0
K03658,-0.2
K03664,0.0
K03665,0.0
K03666,0.0
K03667,0.0
K03671,0.0
K03672,0.2
K03673,0.0
K03675,0.6
K03676,1.0
K03684,1.0
K03685,0.0
K03686,0.0
K03687,0.0
K03688,0.19999999999999996
K03693,-1.0
K03694,1.0
K03695,0.0
K03696,-0.6
K03698,-1.0
K03699,0.0
K03700,-1.0
K03701,0.0
K03702,0.0
K03703,0.0
K03704,0.0
K03705,0.0
K03706,-1.0
K03707,0.0
K03708,-1.0
K03709,-1.0
K03710,-0.8
K03711,0.0
K03712,-0.8
K03713,-1.0
K03717,-0.2
K03718,0.8
K03719,0.0
K03720,-1.0
K03722,-1.0
K03723,0.0
K03724,1.0
K03726,0.2
K03732,-0.2
K03733,0.0
K03734,0.2
K03735,1.0
K03736,1.0
K03741,0.19999999999999996
K03742,0.0
K03743,0.8
K03744,0.0
K03745,1.0
K03748,-1.0
K03750,0.20000000000000007
K03752,0.4
K03753,-0.39999999999999997
K03756,0.2
K03758,-1.0
K03759,0.2
K03762,1.0
K03763,-1.0
K03764,-0.2
K03765,0.2
K03768,0.0
K03769,1.0
K03770,1.0
K03771,1.0
K03776,0.8
K03781,0.0
K03782,1.0
K03783,0.0
K03784,-1.0
K03786,0.4
K03787,0.8
K03789,0.0
K03790,0.0
K03791,1.0
K03793,1.0
K03797,0.0
K03798,0.0
K03799,0.0
K03800,-1.0
K03801,1.0
K03802,-0.2
K03808,1.0
K03809,0.8
K03810,-0.8
K03814,1.0
K03816,-1.0
K03817,-1.0
K03818,-0.4
K03820,1.0
K03821,1.0
K03824,0.8
K03825,0.8
K03826,0.4
K03828,0.4
K03829,0.8
K03830,0.8
K03832,0.6
K03834,-0.2
K03837,-0.2
K03839,-1.0
K03841,-0.2
K03855,1.0
K03862,0.2
K03863,0.6000000000000001
K03885,0.0
K03886,-1.0
K03887,-1.0
K03888,-1.0
K03892,0.0
K03893,-0.19999999999999996
K03896,0.4
K03897,-0.19999999999999996
K03919,1.0
K03921,-0.2
K03924,0.0
K03925,1.0
K03928,-0.6
K03929,0.8
K03930,1.0
K03931,0.6
K03932,0.6
K03934,1.0
K03935,1.0
K03936,1.0
K03937,1.0
K03940,1.0
K03941,1.0
K03942,1.0
K03953,1.0
K03969,1.0
K03972,0.0
K03973,-1.0
K03975,0.0
K03976,0.0
K03977,0.0
K03978,0.0
K03979,0.0
K03980,0.8
K03981,0.8
